TRAPEZOID_OFFSET,LIGHT_ANGLE,RAY_COUNT,Timestamp,cpu time (s),#traces,intensity,weighted_intensity,solarcell-1,Scientrace.ParallelRandomSquareLightSource-yield,Scientrace.ParallelRandomSquareLightSource-weighted_sum,Cell-yield,total light intensity,total revenue,total yield
2.50,37,65536,r_2015-12-07T12:27:39,2.50742,65536,65536,1,Cell,0.948883056640625,0.948883056640625,0.948883056640625,65536,62186,0.948883056640625
2.50,37,65536,r_2015-12-07T12:29:33,2.547382,65536,65536,1,Cell,0.946182250976563,0.946182250976563,0.946182250976563,65536,62009,0.946182250976563
2.50,37,65536,r_2015-12-07T12:30:19,2.105567,65536,65536,1,Cell,0.946258544921875,0.946258544921875,0.946258544921875,65536,62014,0.946258544921875
2.50,37,65536,r_2015-12-07T12:30:25,2.021322,65536,65536,1,Cell,0.9456787109375,0.9456787109375,0.9456787109375,65536,61976,0.9456787109375
2.50,37,65536,r_2015-12-07T12:30:48,2.129552,65536,65536,1,Cell,0.946884155273438,0.946884155273438,0.946884155273438,65536,62055,0.946884155273438
2.50,37,65536,r_2015-12-07T12:30:54,2.273555,65536,65536,1,Cell,0.946853637695313,0.946853637695313,0.946853637695313,65536,62053,0.946853637695313
2.50,37,65536,r_2015-12-07T12:31:01,2.086052,65536,65536,1,Cell,0.946868896484375,0.946868896484375,0.946868896484375,65536,62054,0.946868896484375
2.50,37,65536,r_2015-12-07T12:31:45,2.53666,65536,65536,1,Cell,0.947021484375,0.947021484375,0.947021484375,65536,62064,0.947021484375
2.50,37,65536,r_2015-12-07T12:31:51,2.517016,65536,65536,1,Cell,0.947021484375,0.947021484375,0.947021484375,65536,62064,0.947021484375
2.50,37,65536,r_2015-12-07T12:31:57,2.534121,65536,65536,1,Cell,0.947021484375,0.947021484375,0.947021484375,65536,62064,0.947021484375
2.50,37,65536,r_2015-12-07T12:36:16,2.526727,65536,65536,1,Cell,0.947021484375,0.947021484375,0.947021484375,65536,62064,0.947021484375
2.50,37,65536,r_2015-12-07T12:36:25,5.603286,65536,65536,1,Cell,0.946884155273438,0.946884155273438,0.946884155273438,65536,62055,0.946884155273438
2.50,37,65536,r_2015-12-07T12:43:11,4.52566,65536,65536,1,Cell,0.9468994140625,0.9468994140625,0.9468994140625,65536,62056,0.9468994140625
2.50,37,65536,r_2015-12-07T12:43:38,4.831852,65536,65536,1,Cell,0.946823120117188,0.946823120117188,0.946823120117188,65536,62051,0.946823120117188
2.50,37,65536,r_2015-12-07T12:44:01,4.755068,65536,65536,1,Cell,0.946929931640625,0.946929931640625,0.946929931640625,65536,62058,0.946929931640625
2.50,37,65536,r_2015-12-07T12:44:23,2.119463,65536,65536,1,Cell,0.946273803710938,0.946273803710938,0.946273803710938,65536,62015,0.946273803710938
2.50,37,65536,r_2015-12-07T12:47:53,2.147048,65536,65536,1,Cell,0.946868896484375,0.946868896484375,0.946868896484375,65536,62054,0.946868896484375
2.50,37,65536,r_2015-12-07T12:49:09,2.114476,65536,65536,1,Cell,0.946884155273438,0.946884155273438,0.946884155273438,65536,62055,0.946884155273438
2.50,37,65536,r_2015-12-07T12:50:14,34.300358,65536,65536,1,Cell,0.947021484375,0.947021484375,0.947021484375,65536,62064,0.947021484375
2.50,37,65536,r_2015-12-07T13:23:28,35.901101,65536,65536,1,Cell,0.947021484375,0.947021484375,0.947021484375,65536,62064,0.947021484375
2.50,37,65536,r_2015-12-07T13:24:09,2.467302,65536,65536,1,Cell,0.946853637695313,0.946853637695313,0.946853637695313,65536,62053,0.946853637695313
2.50,37,65536,r_2015-12-07T13:24:46,6.638894,65536,65536,1,Cell,0.94683837890625,0.94683837890625,0.94683837890625,65536,62052,0.94683837890625
2.50,37,65536,r_2015-12-07T13:25:01,2.566576,65536,65536,1,Cell,0.947021484375,0.947021484375,0.947021484375,65536,62064,0.947021484375
2.50,37,65536,r_2015-12-07T13:25:09,2.390964,65536,65536,1,Cell,0.946319580078125,0.946319580078125,0.946319580078125,65536,62018,0.946319580078125
2.50,37,65536,r_2015-12-07T13:26:22,14.300591,65536,65536,1,Cell,0.946945190429688,0.946945190429688,0.946945190429688,65536,62059,0.946945190429688
2.50,37,65536,r_2015-12-07T13:27:02,9.979178,65536,65536,1,Cell,0.946945190429688,0.946945190429688,0.946945190429688,65536,62059,0.946945190429688
2.50,37,65536,r_2015-12-07T13:31:19,2.489437,65536,65536,1,Cell,0.946853637695313,0.946853637695313,0.946853637695313,65536,62053,0.946853637695313
